observation_id,frame_number,telemetry_hex,timestamp,byte_count
14089571,0,SIN_TELEMETRIA,,0
14088978,0,SIN_TELEMETRIA,,0
14075068,0,SIN_TELEMETRIA,,0
14075012,0,SIN_TELEMETRIA,,0
14072092,0,SIN_TELEMETRIA,,0
14068520,0,SIN_TELEMETRIA,,0
14064506,0,SIN_TELEMETRIA,,0
14067138,0,SIN_TELEMETRIA,,0
14066732,0,SIN_TELEMETRIA,,0
14064472,0,SIN_TELEMETRIA,,0
14051835,0,SIN_TELEMETRIA,,0
14053641,0,SIN_TELEMETRIA,,0
14052008,0,SIN_TELEMETRIA,,0
14051813,0,SIN_TELEMETRIA,,0
14051812,0,SIN_TELEMETRIA,,0
14041102,0,SIN_TELEMETRIA,,0
14041093,0,SIN_TELEMETRIA,,0
14042952,0,SIN_TELEMETRIA,,0
14039611,0,SIN_TELEMETRIA,,0
14036400,0,SIN_TELEMETRIA,,0
14036384,0,SIN_TELEMETRIA,,0
14030402,0,SIN_TELEMETRIA,,0
14030316,0,SIN_TELEMETRIA,,0
14030052,0,SIN_TELEMETRIA,,0
14010211,0,SIN_TELEMETRIA,,0
14000757,0,SIN_TELEMETRIA,,0
14000746,0,SIN_TELEMETRIA,,0
13982157,0,SIN_TELEMETRIA,,0
13974691,0,SIN_TELEMETRIA,,0
13974737,0,SIN_TELEMETRIA,,0
13965285,0,SIN_TELEMETRIA,,0
13965179,0,SIN_TELEMETRIA,,0
13962655,0,SIN_TELEMETRIA,,0
13961243,0,SIN_TELEMETRIA,,0
13947146,0,SIN_TELEMETRIA,,0
13948476,0,SIN_TELEMETRIA,,0
13947109,0,SIN_TELEMETRIA,,0
13935974,0,SIN_TELEMETRIA,,0
13930745,0,SIN_TELEMETRIA,,0
13925762,0,SIN_TELEMETRIA,,0
13911700,0,SIN_TELEMETRIA,,0
13910530,0,SIN_TELEMETRIA,,0
13900540,0,SIN_TELEMETRIA,,0
13906353,0,SIN_TELEMETRIA,,0
13900457,0,SIN_TELEMETRIA,,0
13893729,0,SIN_TELEMETRIA,,0
13901885,0,SIN_TELEMETRIA,,0
13893701,0,SIN_TELEMETRIA,,0
13886227,0,SIN_TELEMETRIA,,0
13886363,0,SIN_TELEMETRIA,,0
13879531,0,SIN_TELEMETRIA,,0
13879473,0,SIN_TELEMETRIA,,0
13871288,0,SIN_TELEMETRIA,,0
13868094,0,SIN_TELEMETRIA,,0
13862499,0,SIN_TELEMETRIA,,0
13862497,0,SIN_TELEMETRIA,,0
13855315,0,SIN_TELEMETRIA,,0
13829980,0,SIN_TELEMETRIA,,0
13828396,0,SIN_TELEMETRIA,,0
13819959,0,SIN_TELEMETRIA,,0
13809990,0,SIN_TELEMETRIA,,0
13790407,0,SIN_TELEMETRIA,,0
13787043,0,SIN_TELEMETRIA,,0
13774690,0,SIN_TELEMETRIA,,0
13758442,0,SIN_TELEMETRIA,,0
13756449,0,SIN_TELEMETRIA,,0
13752258,0,SIN_TELEMETRIA,,0
13752444,0,SIN_TELEMETRIA,,0
13740878,0,SIN_TELEMETRIA,,0
