timestamp,observer,observation_id,station_id,frame
2025-12-14T10:37:32Z,HS0ZQS_UHF-OK03fu,12963522,4259,88D00F3D0D611A88F4AA42150055087D87DC6DA7A62150443D2093D41BEA84B2C395C8EE65D634
2025-12-09T01:26:57Z,M7RED-KO96ce,,,ECE19BB9DB21CB9DE654C8E47C86007015
2025-11-30T17:18:36Z,BEEGND-4-JO62pm,12840803,1860,808BB978CF727449887571EEA8CDCD69FE3372
2025-11-30T17:14:31Z,BEEGND-4-JO62pm,12840803,1860,8ABC27E9548362CAB84980D3
2025-11-24T23:40:20Z,VU3IPU-MK82sx,,,978CB06C79226FD00A766143683A5D9CAB6B86116A
2025-11-24T23:38:44Z,VU3IPU-MK82sx,,,F6F26A8A5AB8A76729B782A0C8E7AC9A45B9B401DE82CA8BCAD2162E93CFFE93FE3C422CB810E8888B291508E56032D87CB8583ADE38
2025-11-15T17:54:54Z,F1SXJ-JN16xc,,,CD7457299E4FF6170D42A1286AED1D9F74B71A9F02F929584AC6CE2D8ED941E0958102E6
2025-11-14T12:03:39Z,VU3IPU-MK82sx,,,659F13ED6D7CF5AE30202741B8C6BD2B3802EA4A764D1E698A6CA63D958532A4F438F3B025AD2C
2025-11-04T17:53:16Z,IK3SVW-1-JN65cq,12673697,4372,72DCB6A7F1D8E6325A6208873A9BBA289F9CD1A86D0E
2025-11-03T11:58:51Z,VU3IPU-MK82sx,,,7548CB824E9605471F70733A28D3603CAFE5C21844D142B192867F2E
2025-10-30T17:27:03Z,M7RED-KO96ce,,,AD354E5D13EE9AE2187E0F83191844471C11893898B4
2025-10-27T16:07:02Z,Apomahon-KM18ub,12627063,6,564A7DA27405E19ED71B2B75F0DF902649B4D4F7
2025-10-24T19:31:52Z,aUkHF-JN18cs,12616584,4236,0C2D1FCD71AA92340FAEA0B92E807D1181
2025-10-11T03:37:21Z,M7RED-KO96ce,,,E0CA8797D86D8447B1A420DF55AF43508EDDBE5EA3045345560A94055B80A2C0688232C6
2025-10-01T02:54:55Z,M7RED-KO96ce,,,FC4096B4A092E7D1257F1DF812A3B5171C271DF2802AC14521F6F4F2D4330548
2025-09-22T17:07:00Z,SM0TGU - VHF UHF-JO89wk,12427085,858,804332CDD786E7F895625F38324F
2025-09-21T23:52:28Z,VU3IPU-MK82sx,,,971377B8939D5A255CD051624E24EB791D1476BB3861
2025-09-19T20:54:04Z,PU4ELT-GH70qd,12407372,3538,3CD2CC56991709CA5BDF399488950A2B41C25B4C6C5E54459677190E38E0016BE70A1285BCDC0C9AD2C074
2025-09-19T20:53:00Z,PU4ELT-GH70qd,12407372,3538,E0F218B42A82A5AB
2025-09-19T20:51:30Z,PU4ELT-GH70qd,12407372,3538,C0C3E4
2025-09-13T23:39:48Z,VU3IPU-MK82sx,,,2D123A78CF8590D1BC695B3767D53E8A76CF3B593A666639849C
2025-09-02T12:37:30Z,VU3IPU-MK82sx,,,356E102AA0653726A2D534C496AB4B7F5AE0
2025-08-30T03:55:00Z,SWLJO21JN-JO21jn,,,78D13E71727A75C75101BDF9A5632527C3D539A421C40E3353AFB78116A41B1222740A7882F298EBD96963A0266EEF095AF6204A6FEAA2B71AA3C1C5880E26
2025-08-28T03:18:14Z,IU0JIW-JN61hl,,,DC0E0DEAED64A47618B4E78AD3CBAA76030A12
2025-08-27T05:37:24Z,SWLJO21JN-JO21jn,,,9D48AAB7F12A38746CED6D89ACA64196CFAAA753F5C8EC08B5
2025-08-24T17:56:58Z,F4TNK-UHF-JN23at,12251840,3762,6FC20A1D
2025-08-24T17:55:26Z,F4TNK-UHF-JN23at,12251840,3762,F06FCE719E807AA4378D6A
2025-08-24T17:52:02Z,YL3CT-2-KO26iu,12252176,3953,8E3B
