sat_id,norad_cat_id,transmitter,app_source,decoded,frame,observer,timestamp,version,observation_id,station_id,associated_satellites
IFDT-2351-8184-5400-1710,39090,,sids,,36E70847F5AA6D4931839BCDF5C662479450230E2CAE06C805E910E8C0B9857489AEDEDE7882DB639C3111,VU3IPU-MK82sx,2026-05-06T00:07:21Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,C2E65CD7504C6666CD34399E1D79D70ABD84B3B20A49B081C6E501A5EC18A186627C39B972F144B5DBA046A05BC834EC6EBA186F,VU3IPU-MK82sx,2026-04-06T12:25:01Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,140F8E8AB2DC1620902B24C763AD1761,VU3IPU-MK82sx,2026-04-05T23:58:51Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,8BB4CA4C1D1D4C22EC593719102C9AB07E3188,VU3IPU-MK82sx,2026-03-17T23:44:12Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,40AB7FB616B2EA1EACD63405C72986DC055656B60C9EF72C,M7RED-KO96ce,2026-03-07T16:59:41Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,11AB208C472B81BD4595CA3D91E4850973EC593CF16B9FDF765460461CCBC948FE,M7RED-KO96ce,2026-03-04T03:23:28Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,F9427876B4D121225BF422765280D178C2C0CA9DAA4802F62E63C9D0E55DED0C868C61D113FA159BCC4BEEA936,M7RED-KO96ce,2026-03-03T15:58:45Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,2050372CB89A3CF7564D59D5E15062C76ED7C361441F880D92,IK1OAJ-JN45bc,2026-02-21T03:28:24Z,,13444398,4674,[]
IFDT-2351-8184-5400-1710,39090,,network,,804CED75212397F8E98547DB35B13AEE1CE04D8C27,IK1OAJ-JN45bc,2026-02-21T03:21:40Z,,13444398,4674,[]
IFDT-2351-8184-5400-1710,39090,,network,,8069CFB02DF266B14722E90D18D5D2911715D8AA20,M0KSF-BB-IO91qf,2026-02-19T02:59:38Z,,13423320,2760,[]
IFDT-2351-8184-5400-1710,39090,,network,,D4,M0KSF-BB-IO91qf,2026-02-18T19:02:54Z,,13423319,2760,[]
IFDT-2351-8184-5400-1710,39090,,network,,9AAB,M0KSF-BB-IO91qf,2026-02-18T18:55:43Z,,13423319,2760,[]
IFDT-2351-8184-5400-1710,39090,,network,,00F593,M0KSF-BB-IO91qf,2026-02-18T18:51:40Z,,13423319,2760,[]
IFDT-2351-8184-5400-1710,39090,,network,,AE9F6F4F9D5AE0AC9AEB55C5EA,M0KSF-BB-IO91qf,2026-02-18T05:10:20Z,,13423317,2760,[]
IFDT-2351-8184-5400-1710,39090,,network,,3CD98E62C0DD519A,EA4TA-IN80ck,2026-02-17T19:35:31Z,,13411079,4595,[]
IFDT-2351-8184-5400-1710,39090,,network,,E0584171,M0KSF-BB-IO91qf,2026-02-17T17:47:19Z,,13423314,2760,[]
IFDT-2351-8184-5400-1710,39090,,sids,,1AB3D9009E59C0D9FE7EA822C6DC3B226D389752154CD97A8900AD146C9A,M7RED-KO96ce,2026-02-17T02:31:05Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,70185D1CBC32A20FE98204AADE,EA4TA-IN80ck,2026-02-16T04:42:27Z,,13399386,4595,[]
IFDT-2351-8184-5400-1710,39090,,sids,,8E5DA0C1C4913547724078DE028B738B782AF6AE0F2C2A89A80A6F98DECC287718079736A5AC73730B9637BE5E2453A1E7,YO2CIP-KN05ot,2026-02-16T04:42:17Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,7819F39516E5A8E5BB02442EEEC4E2F1FEA81AF4DA3B83AF2953,M7RED-KO96ce,2026-02-15T23:47:20Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,B2EF64769EEE79030ED8944BAD466291AC9DB0EBDF36,EA4TA-IN80ck,2026-02-15T19:09:27Z,,13399385,4595,[]
IFDT-2351-8184-5400-1710,39090,,network,,38,EA4TA-IN80ck,2026-02-15T19:06:07Z,,13399385,4595,[]
